X,Y
-1.033878,6.12324
-1.033878,6.12324
-1.033878,6.12324
-1.033878,6.12324
-1.00153,6.048019
-0.9848993,6.009348
-0.971146,5.977367
-0.9582546,5.94739
-0.9472319,5.921758
-0.937781,5.899781
-0.9300186,5.881731
-0.9239536,5.867628
-0.9193895,5.857015
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9164717,5.85023
-0.9038649,5.722377
-0.896165,5.644289
-0.8888482,5.570086
-0.8809267,5.48975
-0.8728061,5.407395
-0.8645294,5.323456
-0.8565496,5.242529
-0.8482886,5.158751
-0.8403122,5.077857
-0.8320925,4.994497
-0.8171705,4.843166
-0.808961,4.75991
-0.790369,4.571359
-0.7820556,4.487048
-0.7680325,4.344832
-0.7598432,4.26178
-0.7414662,4.075409
-0.7333136,3.99273
-0.7250413,3.908837
-0.7092559,3.748749
-0.7010896,3.66593
-0.6851456,3.504235
-0.6768964,3.420575
-0.6595389,3.244544
-0.6509826,3.157769
-0.6358653,3.004458
-0.6276495,2.921137
-0.6107994,2.750251
-0.6025702,2.666796
-0.5941758,2.581663
-0.5790114,2.427874
-0.5707015,2.343598
-0.5532134,2.166243
-0.5449166,2.082101
-0.5301507,1.932353
-0.5219775,1.849464
-0.5137544,1.766069
-0.4968914,1.595053
-0.4886908,1.511887
-0.4710983,1.333472
-0.462696,1.24826
-0.4466294,1.08532
-0.438441,1.002278
-0.4302355,0.9190615
-0.4134428,0.7487577
-0.4050974,0.6641231
-0.391222,0.5234054
-0.3830479,0.4405076
-0.3643804,0.251191
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3560551,0.1667604
-0.3518726,0.1671735
-0.3437013,0.1679807
-0.3316027,0.1691757
-0.2871617,0.1735655
-0.26107,0.1761428
-0.2324397,0.1789708
-0.1979898,0.1823737
-0.14568,0.1875407
-0.1003881,0.1920145
-0.007707059,0.2011693
0.0478526,0.2066574
0.1067035,0.2124705
0.2492889,0.2265548
0.3236911,0.233904
0.4941508,0.2507416
0.5768432,0.2589097
0.662865,0.2674068
0.809347,0.2818759
0.8924024,0.2900799
1.075218,0.308138
1.159717,0.3164846
1.244499,0.3248591
1.394748,0.3397004
1.478829,0.3480057
1.651832,0.3650945
1.737007,0.3735079
1.890764,0.3886956
1.975134,0.3970294
2.057373,0.4051528
2.228028,0.4220097
2.313387,0.4304413
2.485017,0.4473944
2.567625,0.4555542
2.652199,0.4639082
2.80294,0.4787981
2.886553,0.4870571
3.067204,0.5049014
3.151245,0.5132028
3.300359,0.5279319
3.384132,0.5362067
3.466083,0.5443016
3.639484,0.5614298
3.723017,0.569681
3.873197,0.5845154
3.957476,0.5928403
4.135649,0.6104398
4.219257,0.6186984
4.301726,0.6268445
4.473729,0.6438345
4.558432,0.6522012
4.710164,0.6671889
4.79301,0.6753722
4.875996,0.6835694
5.048368,0.7005959
5.131294,0.7087871
5.309158,0.7263561
5.395494,0.7348841
5.556833,0.7508208
5.641138,0.7591482
5.807294,0.7755607
5.89252,0.7839791
5.972481,0.7918774
6.1349,0.8079208
6.219459,0.8162733
6.385824,0.8327065
6.468895,0.840912
6.630956,0.85692
6.71543,0.8652641
6.885363,0.8820497
6.968647,0.8902763
7.051679,0.8984779
7.200221,0.9131505
7.284356,0.9214612
7.460583,0.9388685
7.544181,0.9471262
7.722723,0.964762
7.807908,0.9731764
7.964113,0.988606
8.048418,0.9969333
8.131016,1.005092
8.271492,1.018968
8.354573,1.027175
8.555465,1.047018
8.639242,1.055294
8.79585,1.070763
8.881206,1.079194
9.031539,1.094044
9.115295,1.102317
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.193525,1.110044
9.105548,1.00902
9.055582,0.9516435
9.003993,0.8924039
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.947721,0.8277864
8.82093,0.7332921
8.82093,0.7332921
8.665623,0.6172601
8.596844,0.5658746
8.531746,0.5172389
8.466367,0.4683937
8.398336,0.4175676
8.333162,0.3688751
8.264932,0.3178991
8.200819,0.2699997
8.125158,0.2134727
8.057457,0.162892
7.919959,0.06016517
7.850867,0.008545965
7.726935,-0.08404503
7.659698,-0.1342786
7.519885,-0.238735
7.452571,-0.2890256
7.326209,-0.3834328
7.258979,-0.4336607
7.117188,-0.5395954
7.050551,-0.5893802
7.050551,-0.5893802
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
0.02241424,1.94449
